24-01-2021 02:00:53.430 [main] INFO  SpringBootTestContextBootstrapper Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.albo.comics.scheduler.AlboComicsSchedulerApplicationTests], using SpringBootContextLoader
24-01-2021 02:01:06.730 [cluster-ClusterId{value='600d2942e9402c630511df7a', description='null'}-srv-cluster0.zccxh.mongodb.net] INFO  cluster Adding discovered server cluster0-shard-00-01.zccxh.mongodb.net:27017 to client view of cluster
24-01-2021 02:01:06.731 [cluster-ClusterId{value='600d2942e9402c630511df7a', description='null'}-srv-cluster0.zccxh.mongodb.net] INFO  cluster Adding discovered server cluster0-shard-00-00.zccxh.mongodb.net:27017 to client view of cluster
24-01-2021 02:01:06.897 [main] INFO  ScheduledTask Starting insert data comics job...
24-01-2021 02:01:07.204 [cluster-ClusterId{value='600d2942e9402c630511df7a', description='null'}-cluster0-shard-00-01.zccxh.mongodb.net:27017] INFO  connection Opened connection [connectionId{localValue:6, serverValue:225087}] to cluster0-shard-00-01.zccxh.mongodb.net:27017
24-01-2021 02:01:07.204 [cluster-ClusterId{value='600d2942e9402c630511df7a', description='null'}-cluster0-shard-00-02.zccxh.mongodb.net:27017] INFO  connection Opened connection [connectionId{localValue:3, serverValue:185245}] to cluster0-shard-00-02.zccxh.mongodb.net:27017
24-01-2021 02:01:07.204 [cluster-ClusterId{value='600d2942e9402c630511df7a', description='null'}-cluster0-shard-00-00.zccxh.mongodb.net:27017] INFO  connection Opened connection [connectionId{localValue:4, serverValue:185194}] to cluster0-shard-00-00.zccxh.mongodb.net:27017
24-01-2021 02:01:07.204 [cluster-rtt-ClusterId{value='600d2942e9402c630511df7a', description='null'}-cluster0-shard-00-00.zccxh.mongodb.net:27017] INFO  connection Opened connection [connectionId{localValue:5, serverValue:185194}] to cluster0-shard-00-00.zccxh.mongodb.net:27017
24-01-2021 02:01:07.204 [cluster-rtt-ClusterId{value='600d2942e9402c630511df7a', description='null'}-cluster0-shard-00-01.zccxh.mongodb.net:27017] INFO  connection Opened connection [connectionId{localValue:1, serverValue:224668}] to cluster0-shard-00-01.zccxh.mongodb.net:27017
24-01-2021 02:01:07.204 [cluster-rtt-ClusterId{value='600d2942e9402c630511df7a', description='null'}-cluster0-shard-00-02.zccxh.mongodb.net:27017] INFO  connection Opened connection [connectionId{localValue:2, serverValue:185245}] to cluster0-shard-00-02.zccxh.mongodb.net:27017
24-01-2021 02:01:07.205 [cluster-ClusterId{value='600d2942e9402c630511df7a', description='null'}-cluster0-shard-00-01.zccxh.mongodb.net:27017] INFO  cluster Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.zccxh.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=265302800, setName='atlas-s3nd0f-shard-0', canonicalAddress=cluster0-shard-00-01.zccxh.mongodb.net:27017, hosts=[cluster0-shard-00-01.zccxh.mongodb.net:27017, cluster0-shard-00-02.zccxh.mongodb.net:27017, cluster0-shard-00-00.zccxh.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.zccxh.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000007, setVersion=1, topologyVersion=null, lastWriteDate=Sun Jan 24 02:01:04 CST 2021, lastUpdateTimeNanos=2081101431000}
24-01-2021 02:01:07.205 [cluster-ClusterId{value='600d2942e9402c630511df7a', description='null'}-cluster0-shard-00-02.zccxh.mongodb.net:27017] INFO  cluster Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.zccxh.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=265305700, setName='atlas-s3nd0f-shard-0', canonicalAddress=cluster0-shard-00-02.zccxh.mongodb.net:27017, hosts=[cluster0-shard-00-01.zccxh.mongodb.net:27017, cluster0-shard-00-02.zccxh.mongodb.net:27017, cluster0-shard-00-00.zccxh.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.zccxh.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=null, lastWriteDate=Sun Jan 24 02:01:04 CST 2021, lastUpdateTimeNanos=2081101430900}
24-01-2021 02:01:07.206 [cluster-ClusterId{value='600d2942e9402c630511df7a', description='null'}-cluster0-shard-00-00.zccxh.mongodb.net:27017] INFO  cluster Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.zccxh.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=265319700, setName='atlas-s3nd0f-shard-0', canonicalAddress=cluster0-shard-00-00.zccxh.mongodb.net:27017, hosts=[cluster0-shard-00-01.zccxh.mongodb.net:27017, cluster0-shard-00-02.zccxh.mongodb.net:27017, cluster0-shard-00-00.zccxh.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.zccxh.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=null, lastWriteDate=Sun Jan 24 02:01:04 CST 2021, lastUpdateTimeNanos=2081101430900}
24-01-2021 02:01:07.207 [cluster-ClusterId{value='600d2942e9402c630511df7a', description='null'}-cluster0-shard-00-01.zccxh.mongodb.net:27017] INFO  cluster Setting max election id to 7fffffff0000000000000007 from replica set primary cluster0-shard-00-01.zccxh.mongodb.net:27017
24-01-2021 02:01:07.207 [cluster-ClusterId{value='600d2942e9402c630511df7a', description='null'}-cluster0-shard-00-01.zccxh.mongodb.net:27017] INFO  cluster Setting max set version to 1 from replica set primary cluster0-shard-00-01.zccxh.mongodb.net:27017
24-01-2021 02:01:07.207 [cluster-ClusterId{value='600d2942e9402c630511df7a', description='null'}-cluster0-shard-00-01.zccxh.mongodb.net:27017] INFO  cluster Discovered replica set primary cluster0-shard-00-01.zccxh.mongodb.net:27017
24-01-2021 02:01:10.738 [main] INFO  connection Opened connection [connectionId{localValue:7, serverValue:225146}] to cluster0-shard-00-01.zccxh.mongodb.net:27017
24-01-2021 02:01:10.912 [main] INFO  ScheduledTask End success insert data comics job...
24-01-2021 02:01:11.026 [main] INFO  ThreadPoolTaskExecutor Initializing ExecutorService 'applicationTaskExecutor'
24-01-2021 02:01:11.158 [main] INFO  ThreadPoolTaskScheduler Initializing ExecutorService 'taskScheduler'
24-01-2021 02:01:11.175 [main] INFO  Http11NioProtocol Starting ProtocolHandler ["http-nio-9191"]
24-01-2021 02:01:11.187 [main] INFO  TomcatWebServer Tomcat started on port(s): 9191 (http) with context path '/marvel'
24-01-2021 02:01:11.197 [main] INFO  AlboComicsSchedulerApplication Started AlboComicsSchedulerApplication in 5.951 seconds (JVM running for 6.326)
24-01-2021 02:03:46.544 [main] INFO  SpringBootTestContextBootstrapper Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.albo.comics.scheduler.AlboComicsSchedulerApplicationTests], using SpringBootContextLoader
24-01-2021 02:03:46.548 [main] INFO  AbstractContextLoader Could not detect default resource locations for test class [com.albo.comics.scheduler.AlboComicsSchedulerApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
